area_id,name,map_id,location,level_range,description,min_level,max_level
1,Library,10404,Estiver School 1F,Level 1-15,"A library that's become a labyrinth. A mysterious girl named Dorothy is said to live here, and legend has it a goddess dwells in the basement. Monsters like Marsh and Teddy reportedly appear here.",1,15
1,Greenhouse,10705,Estiver School Backyard,Level 16-27,"A greenhouse managed by Johnny, like an Amazon jungle. Get too lost admiring the flowers and trees and you might find yourself surrounded by Barawoo before you know it -- watch out. Monsters like Barawoo and Wood reportedly appear here.",16,27
1,World Tree,10706,Estiver School Backyard,Level 28-30,"A place where a huge, sacred tree called the ""World Tree"" grows. The area is filled with a sacred atmosphere, but monsters have started to appear here too. Monsters like Soso and Jelly Deli reportedly appear here.",28,30
1,Underground Waterway,10204,Estiver School Bus Stop,Level 31-91,"A dark, deep, vast underground waterway. It's such a gloomy place that staying too long can wear on your nerves. All sorts of monsters, starting with Croco, reportedly appear here.",31,91
1,4th Dimension Classroom,10602,Estiver School 3F,Level 94-136,"A strange place where even the laws of physics are twisted. EVP has jumbled the classrooms, hallways, and staircases together in chaotic ways. Strange monsters like Kira and Dimension Fish reportedly appear here.",94,136
2,Communal Graveyard,20903,"Backyard, Around the Chapel",Level 1-9,"An eerie communal graveyard and ossuary. Cracked, broken gravestones make it even creepier! Monsters like Zero Seven and Halloween reportedly appear here.",1,9
2,Old School Building,20104,Sowol Academy Grounds,Level 10-26,"A decrepit old school building that's no longer in use. Maybe because of the earthbound spirits Hoyan and Meiyen, strange phenomena happen frequently, and eerie sounds are said to be heard from underground. Monsters like Emily and Puppet reportedly appear here.",10,26
2,World Tree,20105,Sowol Academy Grounds,Level 28-30,"A place where a huge, sacred tree called the ""World Tree"" grows. The area is filled with a sacred atmosphere, but monsters have started to appear here too. Monsters like Soso and Jelly Deli reportedly appear here.",28,30
2,Underground Waterway,20203,Sowol Academy Stop,Level 33-91,"A dark, deep, vast underground waterway. It's such a gloomy place that staying too long can wear on your nerves. All sorts of monsters, starting with Croco, reportedly appear here.",33,91
2,Underground Catacombs,21201,Chapel,Level 139-194,"A place reachable through the chapel's secret passage, sealed by Father Vermont. It's a complex maze, a world ruled by vicious monsters -- enter only if you're prepared. Monsters like Hinowa Nyudo and Golem reportedly appear here.",139,194
2,Waterfall Valley,20104,Old School Building Front Yard,Level 195-210,"A valley leading to a huge waterfall, reached by crossing the ""Bridge of Wishes"" east of the old school building's front yard. Rumor has it there's a hidden path near the waterfall leading to ancient ruins. Monsters like Lexie and King Spabee reportedly appear here.",195,210
