area_id,name,map_id,location,level_range,description,min_level,max_level
1,図書館,10404,エスティバー学園 1階,1～15 レベル,謎の少女ドロシーが住み、地下には女神がいるという伝説もある、迷宮化した図書館。マルシュやテディなどのモンスターが出没するらしい。,1,15
1,温室,10705,エスティバー学園 裏庭,16～27 レベル,ジョニーが管理する、アマゾンのジャングルみたいな温室。花や樹に見惚れていると、いつの間にかバラウスに囲まれてるかも知れないので注意しよう。バラウスやウッドなどのモンスターが出没するらしい。,16,27
1,世界樹,10706,エスティバー学園 裏庭,28～30 レベル,「世界樹」と呼ばれる、巨大で神聖な木が生えている場所。神聖な雰囲気で満たされた場所だが、ここにもモンスターが現われ始めた。ソソやゼリーデリーなどのモンスターが出没するらしい。,28,30
1,地下水路,10204,エスティバー学園 バス停,31～91 レベル,暗く、深く、広大な地下水路。あまり長時間入っていると精神が参ってしまうほど陰気な場所だ。クロコをはじめ、あらゆるモンスターが出没するらしい。,31,91
1,4次元教室 ,10602,エスティバー学園 3階,94～136 レベル,物理法則さえもねじ曲がった奇妙な場所。EVPによって、教室や廊下や階段がめちゃくちゃにつながっている。クィラ、次元魚などの奇妙なモンスターが出没するらしい。,94,136
2,共同墓地,20903,裏庭 聖堂周辺,1～9 レベル,不気味な雰囲気の共同墓地と納骨堂。割れて壊れた墓石のせいで、さらに怖さがアップ！　ゼロセブン、ハロウィーンなどのモンスターが出没するらしい。,1,9
2,旧校舎,20104,宵月学院 グラウンド,10～26 レベル,もう使われることのない、老朽化したかつての校舎。地縛霊ホヤンとメイイェンのせいか、しょっちゅう不思議な現象が起き、地下から怪しい物音が聞こえるという。エミリーやパペットなどのモンスターが出没するらしい。,10,26
2,世界樹,20105,宵月学院 グラウンド,28～30 レベル,「世界樹」と呼ばれる、巨大で神聖な木が生えている場所。神聖な雰囲気で満たされた場所だが、ここにもモンスターが現われ始めた。ソソやゼリーデリーなどのモンスターが出没するらしい。,28,30
2,地下水路,20203,宵月学院 停留場,33～91 レベル,暗く、深く、広大な地下水路。あまり長時間入っていると精神が参ってしまうほど陰気な場所だ。クロコをはじめ、あらゆるモンスターが出没するらしい。,33,91
2,地下墓地,21201,聖堂,139～194 レベル,バーモント神父様が封じている、聖堂の秘密通路から入れる場所。複雑な迷路で、凶悪なモンスターが支配する世界だ。 ここに入るなら覚悟が必要だ。火ノ輪入道やゴーレムなどのモンスターが出没するらしい。,139,194
2,滝のある渓谷,20104,旧校舎 前庭,195~210 レベル,旧校舎前庭の東にある「願いの橋」を渡ると行ける、巨大な滝へと続いている渓谷。巨大な滝の近くには、古代の遺跡に通じる隠された道があるといううわさがある。レクシーやキングスパービーなどのモンスターが出没するらしい。,195,210
