index,quest_id,code,title,category,objective_text,reward_text,notice_text,v0,v1,v2
0,1001,0004,Soso Outbreak,1,Defeat the Soso in [Hallway Full of Boxes],"10 Soso Fragments (Clear ""Hallway Full of Boxes"")",Urgent! Looking for students to defeat the Soso on the first floor of the school building! Ben,5,5,0
1,1082,0010,Soso Outbreak,1,[廊下いっぱいの箱] エピソードのソソを退治しよう,"ソソの破片 10個 (""廊下いっぱいの箱"" クリア)",校舎 1階のソソを始末する生徒募集！　職員室まで。　リエズ,11,11,0
2,1083,0022,Soso Outbreak,1,[廊下いっぱいの箱] エピソードのソソを退治しよう,"ソソの破片 10個 (""廊下いっぱいの箱"" クリア)",校舎 1階のソソを退治してくれる生徒を探しています。　生徒会実行委員長　グレイ,37,37,0
3,1084,0011,Soso Outbreak,1,[廊下いっぱいの箱] エピソードのソソを退治しよう,"ソソの破片 10個 (""廊下いっぱいの箱"" クリア)",校舎 1階のソソを退治して下さる生徒をお待ちしております。かしこ　ソムンヤン,12,12,0
4,1003,0004,Deliver the Freshman Roster,1,Deliver the freshman roster in this order: [Bianca]、 [Riez]、 [Paige]、 [Somunyang]、 and [Mao Xiaoping] teachers.,5 Estiva Business Cards (Talk to the relevant NPCs),Seeking a new student to deliver the freshman roster to the teachers. Ben,5,5,0
5,1004,0010,Estiva Student Council,1,Go introduce yourself to the student council members: [Grey]、[China]、[Suchong]、and [Mocha].,4 Estiva Business Cards (Talk to the related NPCs),Attention、new students! Please meet the student council members. Riez,11,37,0
6,1005,0022,Go introduce yourself to [Karte]、[No.2]、and [No.386].,1,,3 Estiva Business Cards (Talk to the related NPCs),We'd like to introduce you to the people around the academy、so all new students are requested to gather. Student Council Secretary Mocha,37,37,11
7,2001,0051,Soso Outbreak,1,Defeat the Soso in [Box-Filled Hallway].,"10 Soso Fragments (""Hallway Full of Boxes"" Clear)",Urgent! Students needed to defeat the Soso on the first floor of the school building. Sam,171,171,0
8,2059,0043,Soso Outbreak,1,[箱でいっぱいの廊下] エピソードのソソを退治しよう,"ソソの破片 10個 (""箱でいっぱいの廊下"" クリア)",生徒会からのお知らせ　校舎 1階に発生しているソソの退治に協力する生徒を募集します。　生徒会　シンソヒョン,172,172,0
9,2060,0038,Soso Outbreak,1,[箱でいっぱいの廊下] エピソードのソソを退治しよう,"ソソの破片 10個 (""箱でいっぱいの廊下"" クリア)",校舎 1階のソソを退散してくれる生徒を求めています。神の祝福を　バーモント,174,174,0
10,2061,0039,Soso Outbreak,1,[箱でいっぱいの廊下] エピソードのソソを退治しよう,"ソソの破片 10個 (""箱でいっぱいの廊下"" クリア)",校舎 1階のソソを退治して下さる方を探しています。　水蓮,176,176,0
11,2003,0051,Deliver the School Newsletter,1,Deliver the school newsletter to [Youen]-sensei、 [Shin Sohyun]、 [Ruben Shepard]、 and Father [Vermont] on behalf of Sam-sensei,4 Sowol Business Cards (Talk to the related NPCs),New students needed to deliver the school newsletter. Sam,171,171,0
12,2062,0051,Sowol Academy Tour,1,Go introduce yourself to [Inject]、 [No.27]、 and [No.486],3 Sowol Business Cards (Talk to the related NPCs),"New students who have not yet greeted everyone working at the academy, please come see me. Sam",171,171,0
13,2004,0048,Haunted School Ghost Tour,1,Take photos of a [Male Ghost] and [Female Ghost] in the old school building.,2 Ghost Photos (Talk to the related NPCs),New students interested in paranormal experiences! This is your chance! Kurata、Occult Research Club,169,169,11
14,2045,0048,血で書いた御札,1,[サム] 先生に会って [ニワトリの血]を受け取って来よう,ニワトリの血 1個 (NPCと会話),御札作りに興味のある皆さん　今だけのチャンスです！　オカルト研究部　暗田,169,169,0
15,1002,0004,ソソ根絶作戦,2,[廊下いっぱいの箱＠２階] エピソードのソソを退治しよう,"強いソソの破片 40個 (""廊下いっぱいの箱＠２階"" クリア)",緊急！　校舎 2階のソソを退治してくれる生徒募集！　ベン,5,5,0
16,2002,0051,ソソ！職員室占拠中,2,[職員室いっぱいの箱] エピソードのソソを退治しよう,"強いソソの破片 40個 (""職員室いっぱいの箱"" クリア)",大至急！　職員室のソソを退治してくれる生徒募集！　サム,171,171,0
17,1006,0010,Pest Control,3,Defeat the Geto from the [Geto's Great March!] episode.,"45 Geto Horns (""Geto's Great March!"" Clear)",The student council is looking for volunteers! Riez,11,38,0
18,2005,0051,真夜中の学校巡回,3,困っているサム先生を助けて、 [怖がりサム先生] エピソードのラッチューを退治しよう,"ラッチューのしっぽ 35個 (""怖がりサム先生"" クリア)",夜の当直に協力して、モンスターを退治してくれる生徒を募集しています。　サム,171,171,0
19,1007,0011,ラッチュー退治,5,困っているソムンヤン先生のために [ラッチュー撲滅作戦] エピソードのラッチューを退治しよう,"ラッチューのしっぽ 25個 (""ラッチュー撲滅作戦"" クリア)",ラッチューを退治して下さる方々を心よりお待ち申し上げます。かしこ　ソムンヤン,12,12,0
20,1043,0006,Love Fulfillment Talisman,5,Find the Love Fulfillment Talisman said to be in Sowol Academy and give it to Mei.,"Collect 10 Kurata Coupons (""Occult Box"" Clear), then talk to Kurata and exchange them for the Love Fulfillment Talisman",Looking for someone willing to go to Sowol Academy and back! Greenhouse Assistant Mei,7,7,0
21,2006,0048,Kurata's Love Talisman,5,In the [Occult Box] episode、help Kurata carry the Occult Research Club's supplies.,"40 Kurata Coupons (""Occult Box"" Clear)",Don't you want to make the person you love notice you? This is your chance! Kurata、Occult Research Club,169,169,0
22,2007,0046,Walkway? Storage Room?,5,Clear away the packages blocking the school route in the [Occult Box] episode.,"25 Geto Horns (Occult Box"" Clear)""",Looking for students who can clear the obstacles blocking the route to school. Infirmary Youen,173,173,0
23,1008,0001,消えた本を追え,7,[マルシュ・アタック！] エピソードのマルシュを退治して、盗まれた本を取り戻そう,"新刊図書 30冊 (""マルシュ・アタック！"" クリア)",マルシュから本を取り戻す仕事です。　詳細は図書館のカウンターにて。　ページ,1,1,0
24,1037,0005,ジョニーの依頼,7,図書館に行って植物図鑑を探し、ジョニーに持って行ってあげよう,"植物図鑑 1冊 (""マルシュ・アタック！"" B+ 以上の成績でクリア)",図書館に本を取りに行ってくれる生徒募集！　温室管理人　ジョニー,6,6,0
25,2008,0046,Sowol Student Council,7,Introduce yourself to the student council members in the [His & Her Student Council] episode.,"Student Council Introduction Leaflet (""His & Her Student Council"" cleared with B+ or higher)",New students! Come to the infirmary if you want to meet the members of the student council. Nurse Youen,173,173,0
26,2009,0051,The Terror of Monera,7,Defeat the monsters in the [His & Her Student Council] episode for Sam-sensei and Youen-sensei.,"40 Monera Remains (""His and Her Student Council"" Clear)",Urgent! Students are needed to defeat monsters!　Sam,171,171,0
27,1009,0024,Clumsy Mocha,9,Find the handouts Mocha scattered in [The Sheep's Appetite],"30 Mocha's Handouts (""The Sheep's Appetite"" Clear)",Please help! I need help collecting my handouts! Mocha,38,38,0
28,1010,0021,Fluffy Wool,9,Catch the sheep in [The Sheep's Appetite] episode and collect their wool,"30 Wool (""The Sheep's Appetite"" Clear)","Attention, students! The student council requests your cooperation. Student Council Suchong",36,36,0
29,2010,0039,嘆きの動物霊,9,[食い物の恨み] エピソードで動物の霊が泣く理由を調べて解決しよう,"お供え物袋 50個 (""食い物の恨み"" クリア)",動物慰霊碑の動物たちの霊を、助けて下さる方を探しています。　水蓮,176,176,0
30,2011,0038,魔犬ゼロセブン,9,[食い物の恨み] エピソードで墓地を荒らすゼロセブンを退治しよう,"ゼロセブンの骨 30本 (""食い物の恨み"" クリア)",墓地を荒らす魔犬を退散してくれる生徒を求めています。神の祝福を　バーモント,174,174,0
31,1011,0021,Student Council Volunteer,11,Clear the [Student Council Mission] episode and collect [Student Council Volunteer Certificates].,"5 Student Council Volunteer Certificates (""Special Mission Student Council"" Clear)","Attention, first-year students! Those who assist Suchong shall be awarded Volunteer Certificates that can be exchanged for wonderful prizes. Student Council Suchong",36,36,12
32,2012,0046,効果満点？　幽霊退治の御札,11,幽霊に怯える [妖艶] 先生のために、幽霊を退治する方法を探してみよう,"幽霊退治の御札 12枚 (""幽霊に御札"" クリア)",幽霊退治の方法を教えて下さい！　保健室　妖艶　,173,173,0
33,2013,0038,ゼロセブンの逆襲,11,[幽霊に御札] エピソードで墓地を荒らすゼロセブンを退治しよう,"ゼロセブンの骨 25本 (""幽霊に御札"" クリア)",墓地を荒らす魔犬を退散してくれる生徒を求めています。神の祝福を　バーモント,174,174,0
34,1012,0003,Part-Time Delivery Job,12,Deliver packages in [Penguin Delivery] instead of the injured worker,"8 Delivery Receipts (""Penguin-Mark Delivery Service"" Clear with C- or higher)",Part-time workers wanted! Easy delivery work. High pay guaranteed. School Shop No.2,4,4,0
35,2014,0051,大掃除の日,12,[宵月清掃大作戦] エピソードで掃除を邪魔するモンスターを退治しよう,"夜光触角 35本 (""宵月清掃大作戦"" クリア)",校内大清掃：みんなの学校をきれいにしよう！　サム,171,171,12
36,2015,0038,Lunchbox Delivery,13,Overcome any obstacles and deliver Father Vermont's lovingly handmade lunchbox to Suiren.,"1 Delivery Receipt (""The Stolen Lunch"" cleared with B or higher)",Looking for students willing to help with deliveries. May God's blessing be with you. Father Vermont,174,174,0
37,1013,0014,飼育場の留守番,14,[ジンギスカンの夕べ] エピソードで羊を狙うバラウスを退治しよう,"バラウスの花びら 35枚 (""ジンギスカンの夕べ"" クリア)",僕の留守の間、羊たちの世話をしてくれる、動物好きの人はいませんか？　飼育部　ヒョンラン,33,33,0
38,1014,0009,食べ放題！　焼肉パーティ,14,[ジンギスカンの夕べ] エピソードを……,"羊の人形 5個 (""ジンギスカンの夕べ"" C- 以上の成績でクリア)",共に肉を食いたい者、裏庭にて待つ。　四刀丸,10,10,0
39,1015,0024,地震調査委員会,15,[ロボガスバクハツ] エピソードで地震の原因を調査して [報告書]を提出しよう,"地震調査報告書 1部 (""ロボガスバクハツ"" B+ 以上の成績でクリア)",生徒会は、地震についての調査に協力してくれる 1年生を募集しています。　生徒会書記　モカ,38,38,0
40,1036,0003,購買ペンギンの正体？,15,[ロボガスバクハツ] エピソードで、奪われた [No.2]の [ディスク]を取り戻そう,"起動ディスク 15枚 (""ロボガスバクハツ"" クリア)",急募！　大至急、購買まで　No.2,4,4,0
41,2016,0039,Milk Crate Delivery,15,Meet Sam-sensei、 find the milk crate、 and deliver it to Suiren and Karen,"1 Milk Crate (""Sam-sensei's Request"" cleared with B+ or higher) and Milk (Talk to the related NPC)",Looking for first-year students willing to deliver milk. Suiren,176,175,31
42,2017,0043,Construction Site Monsters,15,In the [Sam-sensei's Request] episode、defeat the monsters disturbing the cemetery construction,"25 Monera Thorns (""Sam-sensei's Request"" Clear)",Student Council Notice: We are looking for students who can help defeat the monsters disrupting the cemetery repair work.　Shin Sohyun、Student Council,172,172,0
