index,quest_item_id,code,name,description
0,1,qe000001,古い図書館の鍵,古風な飾りの付いた、古びた図書館の鍵。エスティバー学園の創立より古いようにも見える……
1,2,qe000002,バラウスの花びら,温室を荒らすバラウスの花びら。花びらなのにとても固い
2,3,qe000003,平凡な本,どこででも手に入る平凡な本。内容もとても平凡で眠くなるだけ。わざわざ最後まで読んだ人はたった 3人だけという伝説もあるくらい平凡
3,4,qe000004,ハイバラウスの花びら,ハイバラウスたちの花びら。傘の代わりに使われたりすることもある
4,5,qe000005,ラッチューのしっぽ,ぐるぐる回るラッチューのしっぽ
5,6,qe000006,テディの包丁,モンスター・テディの背中に刺さってる包丁。斧の代わりに使えそうなほど大きい
6,7,qe000007,Warguma's Apology Letter,"A letter of apology that says ""We will never do bad things again. From all of Warguma."" Instead of a stamp, it has Walguma's front paw print pressed on it."
7,8,qe000008,バリケードの破片,壊れたバリケードの破片。使い道はあるの？
8,9,qe000009,布切れ,ひらひらした布切れ。服やかばんの材料に使えそうだ
9,10,qe000010,針,鋭い針
10,11,qe000011,糸,縫い物に使える糸の玉
11,12,qe000012,甘い味の草,噛むと甘い味がする珍しい草。一部の子供達（？）に人気がある
12,13,qe000013,緑褐色の葉っぱ,緑褐色の幅広の葉っぱ。葉っぱなのにとても固く、これで叩かれると痛い
13,14,qe000014,怪しい小箱,しっかり封がされた小さな箱。そんなに重くないが、何が入っているのか……
14,15,qe000015,烈火の心臓,「烈火の心臓」と呼ばれるほど、燃えるように赤い色をした宝石だ
15,16,qe000016,強さの証,貴方の強さの証明！
16,17,qe000017,高級なクマのぬいぐるみ,高級そうなクマのぬいぐるみ
17,18,qe000018,古文書の一部,古くて縁がボロボロに擦り切れている、古文書の一ページ
18,19,qe000019,ページの星印,
19,20,qe000020,ビアンカの星印,
20,21,qe000021,リエズの星印,
21,22,qe000022,ソムンヤンの星印,
22,23,qe000023,マオ＝シャオピンの星印,
23,24,qe000024,ページの推薦状,
24,25,qe000025,四刀丸の推薦状,
25,26,qe000026,リエズの推薦状,
26,27,qe000027,ソムンヤンの推薦状,
27,28,qe000028,マオ＝シャオピンの推薦状,
28,39,qe000039,夜光触角,ラッチューの額から生えている触角。夜光物質が入っていて暗闇の中で明るく光る
29,40,qe000040,Geto's Horn,The green horn attached to Geto's head. It has no particular use.
30,41,qe000041,羊のしっぽの毛,羊毛の中で一番柔らかいと言われる、しっぽの毛。ヒョンランが育てた羊たちの毛は、きれいでいい香りがする
31,42,qe000042,ワニの血液,注射器で採取したワニの血液。こんなものを集めてどんな実験をするんだろう？
32,43,qe000043,生きている木の破片,生きて動く木・ウッドの体の一部。生暖かく、樹液がぽたぽたと滴り落ちて気持ち悪い
33,44,qe000044,消毒用アルコール,純粋に精製されたアルコール
34,45,qe000045,あやしい酒,出所不明の怪しい密造酒。アルコール度数は62%
35,46,qe000046,タバコ,良質の国産タバコ
36,47,qe000047,反省文,「もう二度と悪いことをしません。ワルグマー一同」と書かれた反省文。判子の代わりに、ワルグマーの前足の型が押してある
37,48,qe000048,古文書の記憶,星の模様の小さなオルゴール。破損した古書の記憶が収められている
38,49,qe000049,クリスタル,きらきらと輝く透明なクリスタル。純粋な水の結晶のようだ
39,50,qe000050,金色の蝶番,金色に輝く小さな蝶番
40,51,qe000051,金色の毛皮,色鮮やかな、柔らかい小さな毛皮
41,52,qe000052,アンティークの鍵,世界中に散らばっているアンティークの鍵。数千個の鍵の中で、合う鍵はたった一つだけ
